Tab.2.1.7;;;;;;;;;;;;
;;;;;;;;;;;;
Ausgaben von Bildungseinrichtungen je Schüler/-in und Studierende/-n nach Staaten und Bildungsbereichen (ISCED 1997) in US-Dollar in umgerechneter Kaufkraftparität 1);;;;;;;;;;;;
;;;;;;;;;;;;
;;ISCED 0: Elementarbereich (für 3-Jährige und Ältere);ISCED 1: Primarbereich;ISCED 2: Sekundarbereich I;ISCED 3: Sekundarbereich II;ISCED 2/3: Sekundarbereich insgesamt;ISCED 4: Post-sekundarer, nicht-tertiärer Bereich;ISCED 5B: Tertiärbereich B;ISCED 5A/6: Tertiärbereich A und weiterführende Forschungsprogramme;ISCED 5/6: Tertiärbereich insgesamt;ISCED 5: Tertiärbereich ohne Forschungs- und Entwicklungsaktivitäten;Alle Bildungsbereiche (ohne Elementarbereich)
Staat;Jahr;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar
Korea;2008;4281;5420;6307;9666;7931;a;5742;10109;9081;7771;7434
Korea;2009;6047;6658;7536;11300;9399;a;6313;10499;9513;8096;8542
Korea;2010;6739;6601;6652;9477;8060;a;5713;11271;9972;8226;8198
Korea;2011;6861;6976;6674;9698;8199;a;5692;11230;9927;8168;8382
Luxemburg 2)6)7);1997;m;m;m;m;m;m;m;m;m;m;m
Luxemburg 2)6)7);1998;m;m;m;m;m;m;m;m;m;m;m
Luxemburg 2)6)7);1999;m;m;m;m;m;m;m;m;m;m;m
Luxemburg 2)6)7);2000;m;m;m;m;m;m;m;m;m;m;m
Luxemburg 2)6)7);2001;y;7873;y;y;11091;y;m;m;m;m;m
Luxemburg 2)6)7);2002;y;10611;y;y;15195;y;m;m;m;m;m
Luxemburg 2)6)7);2003;y;11481;16754;17364;17078;m;m;m;m;m;m
Luxemburg 2)6)7);2004;y;13458;18036;17731;17876;m;m;m;m;m;m
Luxemburg 2)6)7);2005;y;14079;18844;18845;18845;m;m;m;m;m;m
Luxemburg 2)6)7);2006;y;13676;18144;18144;18144;m;m;m;m;m;m
Luxemburg 2)6)7);2007;y;13985;17928;17928;17928;m;m;m;m;m;m
Luxemburg 2)6)7);2008;13460;13648;19791;20002;19898;m;m;m;m;m;m
